rank,name,HI_TOTAAL_S.0,DR_AV_MATE_VAN_VERHARDING_V.0,DR_BS_GROEN_PUBLIEK_V.0,intervention_priority,priority_class
1,RK_Amsterdamse Poort,3.67,90.0,9.0,1.9076305220883536,Very High
2,RK_Markthallen,3.33,87.0,6.0,1.8363453815261044,Very High
3,RK_Balboaplein e0o0,3.67,82.0,11.0,1.820281124497992,Very High
4,RK_Spuistraat Noord,3.33,85.0,7.0,1.8072289156626506,Very High
5,RK_Spuistraat Zuid,3.5,83.0,12.0,1.7821285140562249,Very High
6,RK_Haveneiland Noord,3.42,80.0,6.0,1.7610441767068272,Very High
7,RK_Hercules Seghersbuurt,3.29,85.0,10.0,1.7550200803212852,Very High
8,RK_Nes e0o0,3.08,92.0,3.0,1.7228915662650601,Very High
9,RK_Nieuwendijk Noord,3.21,81.0,1.0,1.7168674698795183,Very High
10,RK_Haveneiland Noordwest,3.25,85.0,13.0,1.6746987951807228,Very High
11,RK_F-buurt,3.46,82.0,17.0,1.6666666666666667,Very High
12,RK_Kalverdriehoek,3.08,84.0,6.0,1.6616465863453815,Very High
13,RK_Nieuwe Kerk e0o0,2.96,99.0,1.0,1.6516064257028114,Very High
14,RK_Borgerbuurt,3.63,77.0,13.0,1.6475903614457832,Very High
15,RK_Bellamybuurt Zuid,3.21,82.0,12.0,1.641566265060241,Very High
16,RK_Haarlemmerbuurt West,3.04,86.0,9.0,1.6345381526104417,Very High
17,RK_Noordwestkwadrant Indische buurt Zuid,3.13,83.0,11.0,1.6285140562248996,Very High
18,RK_Dapperbuurt Zuid,3.54,82.0,21.0,1.607429718875502,Very High
19,RK_Haveneiland Noordoost,3.33,79.0,14.0,1.6004016064257027,Very High
20,RK_Fannius Scholtenbuurt,3.0,84.0,8.0,1.5903614457831325,Very High
21,RK_Frederik Hendrikbuurt Zuidoost,3.29,78.0,12.0,1.5903614457831323,Very High
22,RK_Steigereiland Zuid,3.29,85.0,20.0,1.571285140562249,Very High
23,RK_RI Oost terrein,3.08,85.0,15.0,1.5451807228915662,Very High
24,RK_Oosterparkbuurt Noordwest,3.08,83.0,14.0,1.53714859437751,Very High
25,RK_Jan Maijenbuurt,3.42,81.0,21.0,1.535140562248996,Very High
26,RK_Leidsebuurt Zuidoost,3.33,76.0,13.0,1.535140562248996,Very High
27,RK_Blauwe Zand,3.42,83.0,23.0,1.533132530120482,Very High
28,RK_Zuidas Zuid,2.92,90.0,11.0,1.5261044176706828,Very High
29,RK_De Bongerd,3.08,78.0,8.0,1.5261044176706828,Very High
30,RK_Anjeliersbuurt Noord,3.0,85.0,13.0,1.525100401606426,Very High
31,RK_Haveneiland Oost,3.58,76.0,19.0,1.5190763052208835,Very High
32,RK_Hemelrijk,2.92,83.0,8.0,1.5150602409638554,Very High
33,RK_Zuidwestkwadrant Indische buurt,3.33,78.0,18.0,1.5130522088353413,Very High
34,RK_Olympisch Stadion e0o0,3.71,76.0,20.0,1.5090361445783134,Very High
35,RK_Centrumeiland,2.79,92.0,0.0,1.508032128514056,Very High
36,RK_Amstelkwartier Zuid,3.04,86.0,17.0,1.507028112449799,Very High
37,RK_Buikslotermeerplein,3.46,80.0,23.0,1.4849397590361444,Very High
38,RK_Grunder/Koningshoef,3.13,81.0,17.0,1.4819277108433735,Very High
39,RK_Willibrordusbuurt,3.04,78.0,10.0,1.4819277108433733,Very High
40,RK_Anjeliersbuurt Zuid,2.96,81.0,11.0,1.469879518072289,Very High
41,RK_Laan van Spartaan,3.67,79.0,25.0,1.467871485943775,Very High
42,RK_Reguliersbuurt,2.79,86.0,6.0,1.4608433734939759,Very High
43,RK_Vogeltjeswei,3.17,81.0,20.0,1.4427710843373491,Very High
44,RK_Kolenkitbuurt Zuid,3.29,78.0,20.0,1.441767068273092,Very High
45,RK_Elandsgrachtbuurt,3.0,80.0,13.0,1.4387550200803214,Very High
46,RK_Transvaalbuurt West,3.46,77.0,22.0,1.4377510040160644,Very High
47,RK_Oostpoort,3.42,82.0,26.0,1.4377510040160641,Very High
48,RK_Noordwestkwadrant Indische buurt Noord,3.13,78.0,16.0,1.4347389558232932,Very High
49,RK_Begijnhofbuurt,2.79,95.0,11.0,1.426706827309237,Very High
50,RK_Schipluidenbuurt,2.92,85.0,15.0,1.426706827309237,Very High
51,RK_Spaarndammerbuurt Noordoost,3.17,75.0,13.0,1.4216867469879517,Very High
52,RK_Overtoomse Veld Noord,3.54,79.0,26.0,1.4196787148594379,Very High
53,RK_Hoofdcentrum Zuidoost,2.79,88.0,12.0,1.391566265060241,Very High
54,RK_Spaarndammerbuurt Midden,3.04,81.0,19.0,1.390562248995984,Very High
55,RK_Nieuwmarkt,3.17,75.0,15.0,1.3895582329317266,Very High
56,RK_Vondelparkbuurt West,2.83,82.0,11.0,1.3875502008032128,Very High
57,RK_Zaagpoortbuurt,3.0,81.0,18.0,1.3805220883534137,Very High
58,RK_Bloemgrachtbuurt,2.96,80.0,15.0,1.3734939759036144,Very High
59,RK_Oude Kerk e0o0,2.71,93.0,7.0,1.3624497991967872,Very High
60,RK_Johannnes Vermeerbuurt,2.79,84.0,12.0,1.359437751004016,Very High
61,RK_Cremerbuurt West,3.08,77.0,17.0,1.3564257028112452,Very High
62,RK_Hoptille,3.54,79.0,29.0,1.356425702811245,Very High
63,RK_Weteringbuurt,2.88,79.0,12.0,1.3433734939759034,Very High
64,RK_Robert Scottbuurt Oost,2.92,79.0,15.0,1.3232931726907629,Very High
65,RK_Columbusplein e0o0,3.29,72.0,19.0,1.319277108433735,Very High
66,RK_Marathonbuurt West,3.21,75.0,20.0,1.319277108433735,Very High
67,RK_Amstel III deel A/B Zuid,3.0,80.0,20.0,1.3122489959839356,Very High
68,RK_Planciusbuurt Noord,3.38,66.0,12.0,1.3122489959839356,Very High
69,RK_Burgemeester Tellegenbuurt Oost,3.0,77.0,17.0,1.3042168674698795,Very High
70,RK_Spaarndammerbuurt Zuidwest,3.29,79.0,27.0,1.2931726907630523,Very High
71,RK_Robert Scottbuurt West,3.29,74.0,22.0,1.292168674698795,Very High
72,RK_Filips van Almondekwartier,2.96,76.0,14.0,1.28714859437751,Very High
73,RK_Overtoomse Veld Zuid,3.46,77.0,28.0,1.284136546184739,Very High
74,RK_De Wester Quartier,3.04,69.0,6.0,1.283132530120482,Very High
75,RK_K-buurt Zuidwest,3.17,78.0,24.0,1.2821285140562249,Very High
76,RK_Vogelbuurt Zuid,3.5,74.0,26.0,1.2710843373493976,Very High
77,RK_Waterloopleinbuurt,2.84,78.0,13.0,1.2710843373493974,Very High
78,RK_Westhaven Zuid,2.67,85.0,10.0,1.2600401606425702,Very High
79,RK_Oosterparkbuurt Zuidwest,2.96,78.0,20.0,1.2359437751004014,Very High
80,RK_Papaverweg e0o0,2.96,74.0,14.0,1.2359437751004014,Very High
81,RK_Kortvoort,3.29,77.0,27.0,1.2359437751004014,Very High
82,RK_Bosleeuw,3.42,75.0,27.0,1.2359437751004014,Very High
83,RK_Leidsebuurt Noordoost,2.67,82.0,9.0,1.2309236947791165,Very High
84,RK_Kortenaerkwartier,2.96,71.0,11.0,1.2289156626506024,Very High
85,RK_Amstel III deel A/B Noord,2.79,81.0,17.0,1.2248995983935742,Very High
86,RK_Lizzy Ansinghbuurt,2.88,79.0,19.0,1.2228915662650601,Very High
87,RK_Sloterdijk II,2.75,85.0,18.0,1.2198795180722892,Very High
88,RK_Dapperbuurt Noord,3.38,73.0,26.0,1.2058232931726909,Very High
89,RK_Belgiëplein e0o0,2.75,83.0,19.0,1.178714859437751,Very High
90,RK_Overhoeks,3.46,55.0,8.0,1.1656626506024097,Very High
91,RK_Driehoekbuurt,2.63,82.0,11.0,1.1646586345381527,Very High
92,RK_Vivaldi,2.75,77.0,12.0,1.1606425702811245,Very High
93,RK_K-buurt Midden,3.38,74.0,30.0,1.1516064257028111,Very High
94,RK_Marnixbuurt Midden,2.84,68.0,3.0,1.1244979919678715,Very High
95,RK_Oostelijke Handelskade,3.29,57.0,9.0,1.1194779116465865,Very High
96,RK_De Aker Oost,3.67,68.0,28.0,1.1014056224899598,Very High
97,RK_Leeuwenveld,2.75,79.0,19.0,1.0973895582329318,Very High
98,RK_Schinkelbuurt Zuid,3.38,67.0,24.0,1.0923694779116466,Very High
99,RK_K-buurt Zuidoost,3.0,75.0,25.0,1.0672690763052208,Very High
100,RK_Middeneiland Zuidwest,2.08,99.0,0.0,1.0592369477911647,Very High
101,RK_Kolenkitbuurt Noord,3.42,71.0,32.0,1.0582329317269077,High
102,RK_Valkenburg,2.58,79.0,11.0,1.0502008032128514,High
103,RK_Marathonbuurt Oost,3.08,75.0,28.0,1.0431726907630523,High
104,RK_Cornelis Troostbuurt,2.79,75.0,19.0,1.039156626506024,High
105,RK_Czaar Peterbuurt,2.75,82.0,24.0,1.03714859437751,High
106,RK_Kop Zeedijk,2.67,72.0,5.0,1.0321285140562249,High
107,RK_Hondecoeterbuurt,2.71,81.0,21.0,1.0311244979919678,High
108,RK_E-buurt,3.33,72.0,34.0,1.0261044176706828,High
109,RK_Middelveldsche Akerpolder,3.5,70.0,34.0,1.0261044176706828,High
110,RK_Westerdokseiland,3.29,44.0,4.0,1.0170682730923695,High
111,RK_Spaarndammerbuurt Noordwest,3.0,70.0,22.0,1.0170682730923695,High
112,RK_Bedrijvengebied Veelaan,2.67,78.0,17.0,1.0130522088353413,High
113,RK_Osdorpplein e0o0,3.5,61.0,23.0,1.0110441767068274,High
114,RK_Rietlanden,3.17,65.0,21.0,1.0110441767068272,High
115,RK_Legmeerpleinbuurt,2.67,77.0,15.0,1.0100401606425702,High
116,RK_Strandeiland,1.71,100.0,0.0,1.0100401606425702,High
117,RK_Middeneiland Zuidoost,1.71,100.0,0.0,1.0100401606425702,High
118,RK_Burgwallen Oost,2.54,81.0,14.0,1.0040160642570282,High
119,RK_De Punt,3.63,69.0,35.0,1.002008032128514,High
120,RK_Haveneiland Zuidwest/Rieteiland West,3.46,69.0,33.0,1.0,High
121,RK_Julianapark,2.83,77.0,24.0,1.0,High
122,RK_Loenermark,3.38,70.0,33.0,0.998995983935743,High
123,RK_Duivelseiland,2.46,82.0,13.0,0.9989959839357428,High
124,RK_Swammerdambuurt,2.75,70.0,12.0,0.9809236947791166,High
125,RK_Burgemeester Tellegenbuurt West,2.83,73.0,21.0,0.9759036144578315,High
126,RK_Transvaalbuurt Oost,2.92,75.0,26.0,0.9728915662650601,High
127,RK_Pieter van der Doesbuurt,2.79,76.0,23.0,0.9688755020080323,High
128,RK_Houthavens West,3.21,47.0,8.0,0.9678714859437751,High
129,RK_Lucas/Andreasziekenhuis e0o0,2.96,77.0,31.0,0.964859437751004,High
130,RK_Oosterparkbuurt Zuidoost,2.88,74.0,24.0,0.963855421686747,High
131,RK_Buurt 9,3.5,67.0,33.0,0.9628514056224899,High
132,RK_Zuiderhof,2.71,76.0,19.0,0.9608433734939761,High
133,RK_Borneo,3.17,45.0,5.0,0.9588353413654619,High
134,RK_Oostenburg,2.88,70.0,20.0,0.9578313253012049,High
135,RK_Van der Helstpleinbuurt,2.71,81.0,24.0,0.9578313253012047,High
136,RK_RAI,2.29,89.0,15.0,0.9467871485943776,High
137,RK_Concertgebouwbuurt,2.42,81.0,13.0,0.9437751004016065,High
138,RK_Zuidoostkwadrant Indische buurt,2.96,76.0,31.0,0.9387550200803214,High
139,RK_Bellamybuurt Noord,3.0,68.0,23.0,0.9367469879518074,High
140,RK_Staalmanbuurt,3.13,72.0,33.0,0.929718875502008,High
141,RK_Frans Halsbuurt,2.92,71.0,24.0,0.929718875502008,High
142,RK_Gaasperdam Zuid,3.04,73.0,31.0,0.929718875502008,High
143,RK_Herensingelkwartier,2.38,78.0,9.0,0.928714859437751,High
144,RK_Buurt 5 Zuid,3.54,68.0,37.0,0.9257028112449799,High
145,RK_Lootsbuurt,2.71,68.0,9.0,0.9196787148594379,High
146,RK_Tuindorp Nieuwendam West,3.29,70.0,35.0,0.9196787148594376,High
147,RK_Zeeburgereiland Noordoost,2.75,76.0,23.0,0.9176706827309237,High
148,RK_VU-kwartier,2.67,81.0,24.0,0.9146586345381527,High
149,RK_Buiksloterham,3.04,51.0,6.0,0.9146586345381525,High
150,RK_Rijnbuurt West,2.96,71.0,26.0,0.9126506024096386,High
151,RK_Reigersbos Midden,3.29,71.0,38.0,0.9006024096385541,High
152,RK_Zeeburgereiland Noordwest,2.75,72.0,20.0,0.8925702811244981,High
153,RK_De Wittenbuurt Noord,2.92,66.0,20.0,0.8855421686746988,High
154,RK_Hemonybuurt,2.79,67.0,16.0,0.8855421686746987,High
155,RK_Buyskade e0o0,3.08,68.0,27.0,0.8825301204819277,High
156,RK_Noordoostkwadrant Indische buurt,3.04,71.0,31.0,0.8815261044176705,High
157,RK_Cremerbuurt Oost,2.46,77.0,13.0,0.8775100401606427,High
158,RK_Da Costabuurt Zuid,2.83,66.0,17.0,0.8765060240963856,High
159,RK_Bedrijventerrein Hamerstraat,2.79,61.0,6.0,0.8714859437751004,High
160,RK_De Eenhoorn,2.71,79.0,26.0,0.8694779116465863,High
161,RK_Gerard Doubuurt,2.63,78.0,22.0,0.8634538152610443,High
162,RK_Westelijke eilanden,3.21,58.0,22.0,0.8594377510040161,High
163,RK_Rembrandtpleinbuurt,2.79,69.0,20.0,0.855421686746988,High
164,RK_Lastage,2.88,62.0,14.0,0.8493975903614458,High
165,RK_Teleport,2.71,78.0,26.0,0.8433734939759037,High
166,RK_Gibraltarbuurt,3.13,69.0,33.0,0.8413654618473896,High
167,RK_Marnixbuurt Noord,2.96,64.0,21.0,0.8413654618473896,High
168,RK_Holendrecht West,3.25,71.0,40.0,0.8393574297188755,High
169,RK_De Aker West,3.46,63.0,33.0,0.8373493975903616,High
170,RK_Amstel III deel C/D Noord,2.5,81.0,22.0,0.8323293172690762,High
171,RK_Kromme Mijdrechtbuurt,2.58,76.0,19.0,0.8253012048192772,High
172,RK_Leidsebuurt Noordwest,2.0,82.0,14.0,0.8232931726907631,High
173,RK_Frederik Hendrikbuurt Zuidwest,3.29,61.0,27.0,0.8202811244979921,High
174,RK_Scheldebuurt West,2.88,73.0,30.0,0.8192771084337351,High
175,RK_BG-terrein e0o0,2.29,77.0,12.0,0.819277108433735,High
176,RK_Oosterdokseiland,2.92,49.0,4.0,0.8192771084337349,High
177,RK_Elzenhagen Noord,3.29,62.0,28.0,0.8192771084337348,High
178,RK_Terrasdorp,3.21,65.0,31.0,0.8182730923694779,High
179,RK_G-buurt West,3.0,70.0,31.0,0.8182730923694779,High
180,RK_Zuidwestkwadrant Osdorp Noord,3.33,66.0,36.0,0.8162650602409638,High
181,RK_NDSM terrein,2.96,46.0,6.0,0.8132530120481927,High
182,RK_Utrechtsebuurt Zuid,2.88,70.0,26.0,0.8112449799196788,High
183,RK_Uilenburg,2.71,68.0,16.0,0.8092369477911647,High
184,RK_Amstel III deel C/D Zuid,2.04,85.0,18.0,0.8062248995983936,High
185,RK_Sporenburg,3.13,36.0,11.0,0.8062248995983935,High
186,RK_WG-terrein,3.08,70.0,35.0,0.7991967871485945,High
187,RK_Orteliusbuurt Noord,2.71,78.0,28.0,0.7951807228915663,High
188,RK_Nieuw Sloten Zuidwest,2.67,75.0,23.0,0.7951807228915663,High
189,RK_Meer en Oever,3.46,64.0,37.0,0.7881526104417671,High
190,RK_Zeeheldenbuurt,2.33,76.0,13.0,0.7851405622489961,High
191,RK_Landlust Zuid,3.0,67.0,28.0,0.782128514056225,High
192,RK_Entrepot-Noordwest,3.0,65.0,26.0,0.7781124497991969,High
193,RK_Tuindorp Oostzaan Oost,3.54,67.0,45.0,0.7720883534136548,High
194,RK_Groenmarktkadebuurt,2.71,63.0,10.0,0.7720883534136547,High
195,RK_Planciusbuurt Zuid,2.96,60.0,20.0,0.7680722891566264,High
196,RK_Marnixbuurt Zuid,2.63,70.0,17.0,0.7600401606425704,High
197,RK_Louis Chrispijnbuurt,3.46,64.0,39.0,0.7580321285140563,High
198,RK_Zuidwestkwadrant Osdorp Zuid,3.29,65.0,37.0,0.7469879518072289,High
199,RK_Vondelparkbuurt Midden,2.54,72.0,17.0,0.7469879518072289,High
200,RK_Westerstaatsman,2.54,77.0,23.0,0.7319277108433736,Medium
201,RK_Haarlemmerbuurt Oost,2.54,77.0,23.0,0.7319277108433736,Medium
202,RK_Buurt 8,3.5,63.0,40.0,0.7218875502008031,Medium
203,RK_Buurt 3,3.25,66.0,39.0,0.7208835341365463,Medium
204,RK_Trompbuurt,2.71,72.0,25.0,0.720883534136546,Medium
205,RK_Weesperbuurt,3.0,59.0,23.0,0.7148594377510041,Medium
206,RK_IJplein e0o0,3.67,39.0,26.0,0.714859437751004,Medium
207,RK_Weespertrekvaart,2.71,75.0,28.0,0.7118473895582328,Medium
208,RK_Minervabuurt Midden,2.5,77.0,23.0,0.7098393574297189,Medium
209,RK_Minervabuurt Zuid,2.63,73.0,23.0,0.7078313253012049,Medium
210,RK_Linnaeusparkbuurt,2.58,74.0,22.0,0.7048192771084338,Medium
211,RK_Landlust Noord,2.75,73.0,29.0,0.7048192771084336,Medium
212,RK_Leidsebuurt Zuidwest,2.54,73.0,20.0,0.7028112449799196,Medium
213,RK_P0C0 Hooftbuurt,2.29,78.0,20.0,0.7018072289156626,Medium
214,RK_Bedrijvengebied Cruquiusweg,2.75,54.0,6.0,0.6997991967871486,Medium
215,RK_Scheldebuurt Oost,2.92,71.0,36.0,0.6937751004016064,Medium
216,RK_De Wittenbuurt Zuid,2.92,59.0,21.0,0.6937751004016064,Medium
217,RK_Osdorp Midden Noord,3.54,64.0,45.0,0.6927710843373495,Medium
218,RK_Paramariboplein e0o0,2.71,70.0,24.0,0.6827309236947792,Medium
219,RK_Leliegracht e0o0,2.79,65.0,23.0,0.681726907630522,Medium
220,RK_Amstelkwartier Noord,2.63,67.0,17.0,0.678714859437751,Medium
221,RK_IJselbuurt Oost,2.67,66.0,18.0,0.6767068273092369,Medium
222,RK_Betondorp,2.92,69.0,34.0,0.6746987951807231,Medium
223,RK_Scheldebuurt Midden,2.75,73.0,31.0,0.6746987951807228,Medium
224,RK_Circus/Kermisbuurt,3.04,67.0,36.0,0.6736947791164658,Medium
225,RK_Banpleinbuurt,2.71,70.0,25.0,0.6606425702811245,Medium
226,RK_Passeerdersgrachtbuurt,2.5,71.0,19.0,0.6606425702811245,Medium
227,RK_Schinkelbuurt Noord,2.5,75.0,23.0,0.6576305220883534,Medium
228,RK_Diamantbuurt,2.71,63.0,17.0,0.6546184738955824,Medium
229,RK_Orteliusbuurt Midden,2.67,75.0,29.0,0.6536144578313252,Medium
230,RK_Hogewey Midden,2.75,75.0,35.0,0.6485943775100402,Medium
231,RK_Bedrijvencentrum Osdorp,2.63,77.0,31.0,0.6335341365461848,Medium
232,RK_Gelderlandpleinbuurt,3.25,65.0,43.0,0.6335341365461847,Medium
233,RK_Schildersbuurt,2.79,72.0,35.0,0.6325301204819276,Medium
234,RK_Gein Zuidwest,2.92,68.0,35.0,0.6275100401606426,Medium
235,RK_Banne Zuidoost,3.38,62.0,42.0,0.6214859437751004,Medium
236,RK_Aalsmeerwegbuurt Oost,2.59,75.0,27.0,0.6144578313253012,Medium
237,RK_Surinamepleinbuurt,2.71,69.0,26.0,0.6044176706827311,Medium
238,RK_Gooise Kant,2.75,68.0,27.0,0.604417670682731,Medium
239,RK_Helmersbuurt Oost,2.46,75.0,24.0,0.6024096385542168,Medium
240,RK_Osdorp Zuidoost,3.5,60.0,44.0,0.5993975903614458,Medium
241,RK_Van der Pekbuurt,3.13,61.0,35.0,0.5933734939759034,Medium
242,RK_Erasmusparkbuurt Oost,2.67,70.0,26.0,0.5893574297188755,Medium
243,RK_Delflandpleinbuurt Oost,3.0,66.0,38.0,0.5873493975903614,Medium
244,RK_Calandlaan/Lelylaan,3.21,63.0,41.0,0.5803212851405624,Medium
245,RK_Kadijken,2.71,65.0,23.0,0.5773092369477911,Medium
246,RK_Vervoerscentrum,2.13,80.0,25.0,0.5763052208835342,Medium
247,RK_Jacques Veltmanbuurt,3.17,65.0,44.0,0.575301204819277,Medium
248,RK_Marjoleinterrein,2.83,68.0,34.0,0.5742971887550201,Medium
